Ni,Fe,Co,Ce,Overpotential
0.5,0.0,0.5,0.0,370.0
0.33,0.0,0.67,0.0,360.0
0.58,0.0,0.42,0.0,410.0
0.32,0.0,0.68,0.0,360.0
0.45,0.0,0.55,0.0,420.0
0.36,0.0,0.64,0.0,350.0
