Ni,Fe,Co,Ce,Overpotential
0.031,0.0,0.969,0.0,441.0
0.0,1.0,0.0,0.0,441.0
0.0,0.969,0.031,0.0,438.0
0.0,0.929,0.071,0.0,448.0
0.0,0.898,0.102,0.0,435.0
0.0,0.871,0.129,0.0,432.0
0.0,0.831,0.169,0.0,430.0
0.0,0.8,0.2,0.0,433.0
0.0,0.769,0.231,0.0,438.0
0.0,0.729,0.271,0.0,446.0
0.0,0.702,0.302,0.0,447.0
0.0,0.671,0.329,0.0,452.0
0.0,0.631,0.369,0.0,442.0
0.0,0.6,0.4,0.0,444.0
0.0,0.569,0.431,0.0,444.0
0.0,0.529,0.471,0.0,441.0
0.0,0.498,0.498,0.0,442.0
0.0,0.471,0.529,0.0,442.0
0.0,0.431,0.569,0.0,443.0
0.0,0.4,0.6,0.0,442.0
0.0,0.369,0.631,0.0,438.0
0.0,0.329,0.671,0.0,431.0
0.0,0.302,0.702,0.0,432.0
0.0,0.271,0.729,0.0,432.0
0.0,0.231,0.769,0.0,431.0
0.0,0.2,0.8,0.0,437.0
0.0,0.169,0.831,0.0,443.0
0.0,0.129,0.871,0.0,437.0
0.0,0.102,0.898,0.0,438.0
0.0,0.071,0.929,0.0,440.0
0.0,0.031,0.969,0.0,442.0
0.0,0.0,1.0,0.0,436.0
0.969,0.0,0.0,0.031,425.0
0.929,0.031,0.0,0.031,427.0
0.929,0.0,0.031,0.031,423.0
0.898,0.071,0.0,0.031,415.0
0.898,0.031,0.031,0.031,416.0
0.898,0.0,0.071,0.031,411.0
0.871,0.102,0.0,0.031,409.0
0.871,0.071,0.031,0.031,412.0
0.631,0.071,0.271,0.031,409.0
0.631,0.102,0.231,0.031,409.0
0.631,0.129,0.2,0.031,403.0
0.631,0.169,0.169,0.031,400.0
0.631,0.2,0.129,0.031,400.0
0.631,0.231,0.102,0.031,402.0
0.631,0.271,0.071,0.031,407.0
0.631,0.302,0.031,0.031,406.0
0.631,0.329,0.0,0.031,402.0
0.671,0.0,0.302,0.031,412.0
0.671,0.031,0.271,0.031,409.0
0.671,0.071,0.231,0.031,406.0
0.671,0.102,0.2,0.031,400.0
0.671,0.129,0.169,0.031,407.0
0.671,0.169,0.129,0.031,402.0
0.671,0.2,0.102,0.031,397.0
0.671,0.231,0.071,0.031,402.0
0.671,0.271,0.031,0.031,400.0
0.671,0.302,0.0,0.031,403.0
0.702,0.0,0.271,0.031,416.0
0.702,0.031,0.231,0.031,418.0
0.702,0.071,0.2,0.031,404.0
0.702,0.102,0.169,0.031,401.0
0.702,0.129,0.129,0.031,402.0
0.702,0.169,0.102,0.031,399.0
0.702,0.2,0.071,0.031,401.0
0.702,0.231,0.031,0.031,402.0
0.702,0.271,0.0,0.031,406.0
0.729,0.0,0.231,0.031,420.0
0.729,0.031,0.2,0.031,410.0
0.729,0.071,0.169,0.031,407.0
0.729,0.102,0.129,0.031,403.0
0.729,0.129,0.102,0.031,402.0
0.729,0.169,0.071,0.031,404.0
0.729,0.2,0.031,0.031,408.0
0.729,0.231,0.0,0.031,406.0
0.769,0.0,0.2,0.031,413.0
0.769,0.031,0.169,0.031,409.0
0.769,0.071,0.129,0.031,404.0
0.769,0.102,0.102,0.031,401.0
0.769,0.129,0.071,0.031,400.0
0.769,0.169,0.031,0.031,406.0
0.769,0.2,0.0,0.031,408.0
0.8,0.0,0.169,0.031,414.0
0.8,0.031,0.129,0.031,409.0
0.8,0.071,0.102,0.031,406.0
0.8,0.102,0.071,0.031,404.0
0.8,0.129,0.031,0.031,402.0
0.8,0.169,0.0,0.031,408.0
0.831,0.0,0.129,0.031,413.0
0.831,0.031,0.102,0.031,407.0
0.831,0.071,0.071,0.031,406.0
0.831,0.102,0.031,0.031,405.0
0.831,0.129,0.0,0.031,407.0
0.871,0.0,0.102,0.031,416.0
0.871,0.031,0.071,0.031,422.0
0.631,0.031,0.302,0.031,417.0
0.631,0.0,0.329,0.031,412.0
0.6,0.369,0.0,0.031,401.0
0.6,0.329,0.031,0.031,400.0
0.6,0.302,0.071,0.031,392.0
0.6,0.271,0.102,0.031,397.0
0.6,0.231,0.129,0.031,399.0
0.6,0.2,0.169,0.031,401.0
0.6,0.169,0.2,0.031,397.0
0.6,0.129,0.231,0.031,398.0
0.6,0.102,0.271,0.031,404.0
0.6,0.071,0.302,0.031,404.0
0.6,0.031,0.329,0.031,408.0
0.6,0.0,0.369,0.031,413.0
0.569,0.4,0.0,0.031,407.0
0.569,0.369,0.031,0.031,396.0
0.569,0.329,0.071,0.031,397.0
0.569,0.302,0.102,0.031,396.0
0.569,0.271,0.129,0.031,397.0
0.569,0.231,0.169,0.031,396.0
0.569,0.2,0.2,0.031,397.0
0.569,0.169,0.231,0.031,400.0
0.569,0.129,0.271,0.031,399.0
0.569,0.102,0.302,0.031,402.0
0.569,0.071,0.329,0.031,407.0
0.569,0.031,0.369,0.031,413.0
0.569,0.0,0.4,0.031,415.0
0.529,0.431,0.0,0.031,407.0
0.529,0.4,0.031,0.031,399.0
0.529,0.369,0.071,0.031,399.0
0.529,0.329,0.102,0.031,397.0
0.529,0.302,0.129,0.031,396.0
0.529,0.271,0.169,0.031,395.0
0.529,0.231,0.2,0.031,394.0
0.529,0.2,0.231,0.031,396.0
0.529,0.169,0.271,0.031,401.0
0.529,0.129,0.302,0.031,399.0
0.529,0.102,0.329,0.031,402.0
0.529,0.071,0.369,0.031,405.0
0.529,0.031,0.4,0.031,407.0
0.529,0.0,0.431,0.031,406.0
0.498,0.471,0.0,0.031,401.0
0.498,0.431,0.031,0.031,401.0
0.498,0.4,0.071,0.031,394.0
0.498,0.369,0.102,0.031,393.0
0.498,0.329,0.129,0.031,394.0
0.498,0.302,0.169,0.031,394.0
0.498,0.271,0.2,0.031,394.0
0.498,0.231,0.231,0.031,399.0
0.498,0.2,0.271,0.031,403.0
0.498,0.169,0.302,0.031,398.0
